upperx,uppery,lowerx,lowery
4231.306136,13.88467604,3758.052794,12.26054165
4133.808708,13.33913838,3653.644155,11.85354817
4022.488858,13.07068906,3563.140213,11.44559479
3938.937264,12.66225574,3465.683922,11.03812136
3855.467947,12.52995086,3354.322935,10.63160782
3758.052794,12.26054165,3256.907782,10.36219861
3653.644155,11.85354817,3159.410353,9.816660953
3563.140213,11.44559479,3061.995201,9.547251743
3465.683922,11.03812136,2964.580048,9.277842532
3354.322935,10.63160782,2839.273226,8.73422466
3256.907782,10.36219861,2727.953377,8.46577534
3159.410353,9.816660953,2616.592389,8.059261799
3061.995201,9.547251743,2505.231402,7.652748257
2964.580048,9.277842532,2393.870415,7.246234716
2839.273226,8.73422466,2289.502914,6.977305451
2727.953377,8.46577534,2192.046623,6.569832019
2616.592389,8.059261799,2087.679122,6.300902754
2505.231402,7.652748257,1948.54988,6.034373214
2393.870415,7.246234716,1830.236544,5.628339618
2289.502914,6.977305451,1725.827905,5.221346132
2192.046623,6.569832019,1642.317449,4.950977031
2087.679122,6.300902754,1544.902297,4.681567821
1948.54988,6.034373214,1447.487144,4.41215861
1830.236544,5.628339618,1336.126157,4.005645069
1725.827905,5.221346132,1238.711004,3.736235859
1642.317449,4.950977031,1155.200549,3.465866758
1544.902297,4.681567821,1071.690093,3.195497657
1447.487144,4.41215861,981.2272883,2.925608502
1336.126157,4.005645069,890.7644841,2.655719346
1238.711004,3.736235859,814.2063764,2.384870301
1155.200549,3.465866758,737.6482688,2.114021255
1071.690093,3.195497657,661.0901611,1.843172209
981.2272883,2.925608502,598.4778882,1.709427494
890.7644841,2.655719346,514.9674323,1.439058393
814.2063764,2.384870301,431.4569763,1.168689293
737.6482688,2.114021255,347.9876586,1.036384413
661.0901611,1.843172209,271.4295509,0.765535367
598.4778882,1.709427494,181.0078848,0.633710433
514.9674323,1.439058393,97.49742887,0.363341332
431.4569763,1.168689293,0,0
347.9876586,1.036384413,,
271.4295509,0.765535367,,
181.0078848,0.633710433,,
97.49742887,0.363341332,,
0,0,,
