upperx,uppery,lowerx,lowery,
8802.322513,48.44048377,8337.820005,44.65945258,123
8767.484824,48.21133036,8285.563473,44.48758752,124
8732.647136,47.98217696,8236.210082,44.31572247,125
8697.809448,47.75302355,8186.85669,44.14385742,126
8657.165479,47.52387015,8143.30958,44.02928071,127
8616.52151,47.35200509,8093.956189,43.85741566,128
8575.87754,47.18014004,8050.409079,43.74283896,129
8535.233571,47.06556334,8003.958828,43.5709739,130
8494.589601,46.89369828,7957.508577,43.39910885,131
8453.945632,46.72183323,7908.155186,43.22724379,132
8413.301663,46.60725652,7861.704935,43.05537874,133
8372.657693,46.49267982,7815.254685,42.88351369,134
8332.013724,46.37810312,7771.707575,42.71164863,135
8291.369755,46.26352642,7719.451042,42.48249523,136
8244.919504,46.14894971,7673.000792,42.19605347,137
8204.275534,46.03437301,7617.841119,41.90961171,138
8169.437846,45.97708466,7574.294009,41.62316996,139
8128.793877,45.91979631,7530.746899,41.3367282,140
8088.149908,45.80521961,7490.10293,41.05028644,141
8053.31222,45.6906429,7449.45896,40.76384468,142
8012.66825,45.5760662,7417.524413,40.53469128,143
7974.927421,45.51877785,7379.783584,40.19096117,144
7937.186593,45.34691279,7347.849037,39.90451941,145
7890.736342,45.23233609,7310.108208,39.56078931,146
7855.898654,45.11775939,7269.464239,39.15977085,147
7826.867247,45.00318269,7225.917129,38.75875239,148
7792.029559,44.88860598,7188.1763,38.35773393,149
7757.191871,44.65945258,7150.435471,37.95671547,150
7722.354183,44.54487588,7118.500924,37.55569701,151
7681.710214,44.31572247,7089.469517,37.2119669,152
7641.066244,44.08656906,7060.43811,36.86823679,153
7606.228556,43.85741566,7031.406704,36.52450668,154
7571.390868,43.62826225,7002.375297,36.18077658,155
7536.55318,43.39910885,6976.247031,35.83704647,156
7501.715492,43.16995544,6941.409343,35.37873966,157
7461.071523,42.82622533,6906.571655,34.9777212,158
7426.233835,42.59707193,6874.637107,34.46212603,159
7397.202428,42.36791852,6845.605701,34.11839593,160
7362.36474,42.02418842,6816.574294,33.66008912,161
7327.527052,41.73774666,6778.833465,33.2017823,162
7298.495645,41.4513049,6746.898918,32.74347549,163
7263.657957,41.10757479,6712.06123,32.28516868,164
7231.72341,40.76384468,6683.029823,31.82686187,165
7193.982581,40.42011458,6653.998416,31.42584341,166
7159.144893,39.96180777,6619.160728,31.02482495,167
7118.500924,39.50350095,6584.32304,30.56651814,168
7077.856954,39.04519414,6549.485352,30.10821133,169
7031.406704,38.47231063,6514.647664,29.64990452,170
6990.762734,38.01400382,6479.809976,29.19159771,171
6950.118765,37.44112031,6444.972288,28.7332909,172
6903.668514,36.86823679,6413.037741,28.33227244,173
6868.830826,36.40992998,6375.296912,27.93125398,174
6833.993138,35.83704647,6334.652943,27.47294717,175
6793.349169,35.3214513,6294.008973,27.01464036,176
6752.705199,34.80585614,6256.268145,26.6136219,177
6712.06123,34.23297263,6218.527316,26.21260344,178
6677.223542,33.71737747,6180.786487,25.86887333,179
6636.579572,33.2017823,6137.239377,25.46785487,180
6601.741884,32.74347549,6090.789126,25.06683641,181
6561.097915,32.17059198,6044.338876,24.7231063,182
6514.647664,31.59770847,5994.985484,24.32208784,183
6468.197414,31.02482495,5939.825812,23.92106938,184
6433.359726,30.56651814,5887.569279,23.57733927,185
6404.328319,30.22278803,5844.022169,23.29089752,186
6369.490631,29.76448122,5794.668778,23.00445576,187
6323.04038,29.30617441,5754.024809,22.77530236,188
6282.396411,28.8478676,5713.380839,22.54614895,189
6241.752441,28.38956079,5666.930589,22.31699554,190
6201.108472,27.93125398,5620.480338,22.08784214,191
6154.658221,27.47294717,5574.030087,21.85868873,192
6108.20797,27.01464036,5527.579836,21.62953533,193
6055.951438,26.55633355,5481.129586,21.40038192,194
5997.888625,26.09802673,5434.679335,21.17122852,195
5945.632093,25.63971992,5388.229084,20.94207511,196
5881.762998,25.18141311,5341.778833,20.71292171,197
5823.700185,24.78039465,5301.134864,20.4837683,198
5777.249934,24.4939529,5254.684613,20.25461489,199
5742.412246,24.26479949,5202.428081,19.96817314,200
5701.768277,24.03564609,5158.880971,19.73901973,201
5661.124307,23.80649268,5103.721298,19.45257798,202
5617.577197,23.52005092,5051.464766,19.10884787,203
5571.126946,23.29089752,5005.014516,18.87969446,204
5524.676696,23.06174411,4955.661124,18.59325271,205
5475.323304,22.77530236,4909.210874,18.30681095,206
5428.873054,22.54614895,4862.760623,18.02036919,207
5388.229084,22.31699554,4816.310372,17.79121579,208
5341.778833,22.08784214,4766.956981,17.50477403,209
5295.328583,21.85868873,4714.700449,17.16104392,210
5248.878332,21.62953533,4659.540776,16.87460216,211
5193.718659,21.34309357,4607.284244,16.58816041,212
5138.558987,21.05665181,4560.833993,16.30171865,213
5086.302454,20.71292171,4508.577461,16.07256525,214
5039.852204,20.4837683,4450.514648,15.78612349,215
4987.595672,20.19732654,4395.354975,15.49968173,216
4935.33914,19.91088479,4340.195302,15.21323997,217
4877.276326,19.56715468,4293.745051,15.04137492,218
4813.407231,19.22342457,4244.39166,14.86950987,219
4755.344418,18.87969446,4192.135128,14.64035646,220
4694.378464,18.53596435,4142.781737,14.46849141,221
4621.799947,18.07765754,4087.622064,14.29662635,222
4557.930852,17.73392743,4029.55925,14.06747295,223
4499.868039,17.39019733,3971.496437,13.89560789,224
4441.805226,17.04646722,3913.433624,13.66645449,225
4375.03299,16.76002546,3858.273951,13.55187778,226
4308.260755,16.4735837,3811.8237,13.38001273,227
4253.101082,16.1298536,3759.567168,13.20814768,228
4192.135128,15.90070019,3704.407495,13.03628262,229
4139.878596,15.67154679,3655.054104,12.86441757,230
4084.718923,15.44239338,3605.700713,12.69255251,231
4032.462391,15.21323997,3562.153603,12.52068746,232
3980.205859,15.04137492,3512.800211,12.34882241,233
3930.852468,14.86950987,3475.059382,12.17695735,234
3878.595936,14.64035646,3431.512272,12.0050923,235
3814.726841,14.41120306,3385.062022,11.83322724,236
3750.857746,14.18204965,3344.418052,11.66136219,237
3698.601214,13.95289624,3300.870942,11.48949714,238
3649.247823,13.78103119,3263.130113,11.31763208,239
3599.894431,13.60916614,3222.486144,11.20305538,240
3550.54104,13.43730108,3187.648456,11.03119032,241
3501.187648,13.26543603,3152.810768,10.91661362,242
3446.027976,13.03628262,3115.069939,10.80203692,243
3396.674584,12.80712922,3065.716548,10.63017187,244
3350.224334,12.69255251,3019.266297,10.45830681,245
3297.967802,12.46339911,2975.719187,10.28644176,246
3251.517551,12.34882241,2926.365796,10.1145767,247
3205.0673,12.119669,2885.721826,10,248
3164.423331,11.94780395,2842.174716,9.885423297,249
3123.779361,11.77593889,2798.627606,9.770846595,250
3083.135392,11.60407384,2757.983637,9.656269892,251
3042.491423,11.43220878,2717.339667,9.59898154,252
3004.750594,11.31763208,2682.501979,9.484404838,253
2972.816046,11.20305538,2647.664291,9.427116486,254
2935.075218,11.03119032,2612.826603,9.369828135,255
2897.334389,10.91661362,2577.988915,9.312539784,256
2859.59356,10.80203692,2543.151227,9.197963081,257
2816.04645,10.63017187,2508.313539,9.140674729,258
