cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5382,buffer,lm,44.99754715,304.8983612,3,360.9260036,596.2266956,574.983429,44.99755,mainland,,91.59078051,7438,7438
5383,buffer,lm,33.61027527,65.12918949,2,195.3239471,1166.953646,1319.489203,33.61028,island,791700,970.1366195,66868,74133
5384,buffer,lm,28.39500237,157.7351723,2,23.86104091,273.10076,682.9545853,28.42546,mainland,,326.8326587,30454,37446
5385,buffer,lm,41.29319,80.79895401,1,633.3768692,979.8975321,865.368165,41.29319,island,8077800,107.4223044,13990,18210
5386,buffer,lm,29.17720032,120.3762245,2,171.4089191,1348.693403,1105.532298,29.46442,mainland,,440.1137179,29970,30483
5387,buffer,lm,27.20771027,158.0751369,2,22.47342456,231.7322655,502.4212574,27.23051,mainland,,16317.05895,27137,149181
5388,buffer,lm,28.63454628,227.0938416,2,84.97567302,152.9477695,320.2245124,28.91761,mainland,,19140.44199,136582,322992
5389,buffer,lm,36.99953079,215.7210179,4,299.9027237,1004.862125,976.1300614,38.47448,island,9927600,336.6239454,49431,104630
5390,buffer,lm,26.9954567,267.0550156,2,99.09944814,805.3982555,1144.032079,27.55735,mainland,,150.7860898,8088,8102
5391,buffer,lm,31.13227844,32.51334429,2,167.3983044,1366.359785,1413.361951,33.5058,island,791700,77.1439262,2370,2370
5392,buffer,lm,39.31351471,160.913662,2,750.9261681,975.0140751,967.1559227,40.38978,mainland,,268.7726166,19481,19481
5393,buffer,lm,35.92507935,251.0109741,3,815.7646566,1337.579728,1258.892594,37.47255,mainland,,167.8883595,12721,20233
5394,buffer,lm,26.17741585,182.8656158,3,551.0984258,1463.967066,1416.349544,28.88308,mainland,,1087.733665,145976,276972
5395,buffer,lm,43.37555695,165.0388794,4,738.9390677,638.607502,664.9495197,43.98273,island,7793800,915.6264575,98475,187848
5396,buffer,lm,24.36564255,235.0720863,1,660.3333003,1408.242991,1511.836757,27.30581,mainland,,370.7443176,20592,46844
5397,buffer,lm,42.11674881,256.897226,3,535.5621329,832.6430542,821.3058733,42.33054,mainland,,591.0331925,36828,60818
5398,buffer,lm,26.87649727,144.6771049,2,87.04534996,1154.64041,1246.41137,27.18589,mainland,,127.9576436,6555,6735
5399,buffer,lm,33.40575027,143.709053,4,937.4955433,1375.284764,1345.415307,38.41477,island,390700,15148.00445,57931,240823
5400,buffer,lm,24.42016411,92.7776535,2,304.4247174,328.962859,298.606727,27.15117,island,33300,1426.922553,103769,137394
5401,buffer,lm,29.33829308,152.3908463,2,23.81107239,408.376296,734.1252918,29.44468,island,4262900,364.5525695,35067,50672
5402,buffer,lm,26.58059692,83.91296654,2,36.36310895,237.6272815,545.0106335,26.66281,mainland,,102.8404001,10260,17898
5403,buffer,lm,31.57815361,239.0717773,3,651.8519958,1375.223176,1154.493245,32.05154,mainland,,106.1120497,10170,20613
5404,buffer,lm,38.50490952,227.8241806,2,34.439611,836.4030686,960.9803496,38.90875,island,123000,9890.381946,124142,414751
5405,buffer,lm,38.74817276,215.0733643,3,818.0023051,1079.217344,1003.393065,41.62778,island,252700,365.6324837,30831,30831
5406,buffer,lm,42.01858902,43.13226395,3,623.3072927,867.5116691,843.2989599,43.13994,island,7793800,478.5336302,77008,107197
5407,buffer,lm,26.83386993,184.8355484,5,233.0662717,1312.750177,1329.203097,26.83487,mainland,,3488.955228,51592,112181
5408,buffer,lm,36.1096077,245.3893921,2,1175.423097,1234.28832,1082.844382,37.57391,mainland,,948.1843279,131950,196231
5409,buffer,lm,43.44775391,15.33030462,4,250.0217835,777.6957292,760.6455732,43.52568,mainland,,353.154309,51320,78842
5410,buffer,lm,37.49074554,127.8383541,1,26.38732102,1154.024321,1186.446977,37.64732,mainland,,234.4461336,22933,23180
5411,buffer,lm,36.85494232,196.4431458,4,649.1827732,1156.226533,1165.984004,39.85998,mainland,,1392.104264,187788,330252
5412,buffer,lm,31.62806511,228.2017975,4,75.10050333,322.7722839,695.9000071,34.22659,island,1200,20869.00192,138684,317196
5413,buffer,lm,33.87797165,79.48161774,3,1168.074752,1239.884651,1161.586745,35.19029,mainland,,448.4457584,33673,41116
5414,buffer,lm,31.1195755,91.19894791,2,14.9720331,218.1756422,435.2713914,31.26944,mainland,,33864.21383,104352,256414
5415,buffer,lm,34.4009285,72.31296444,2,331.962859,288.8347857,377.6343916,34.40093,island,31500,11430.08583,57421,59693
5416,buffer,lm,31.89940453,32.9054389,3,239.7690241,1223.78047,1178.677893,32.68359,mainland,,343.3871076,41976,52526
5417,buffer,lm,32.26749802,91.58466911,2,467.0792838,1199.507657,917.1278508,32.30241,mainland,,410.4547767,27252,27954
5418,buffer,lm,42.81322098,298.5276947,4,477.5338955,850.2457104,777.2152714,42.81322,island,13600,336.4512648,33248,33830
5419,buffer,lm,21.31422234,207.9591461,4,380.2492337,402.0929176,344.0459341,23.56063,mainland,,56456.43798,149674,656725
5420,buffer,lm,35.59163666,123.5800705,2,1092.952802,1220.882065,1281.416542,36.12219,island,427800,68.60770787,2377,2377
5421,buffer,lm,27.89598656,97.83053131,2,79.78003808,214.9207215,312.3968158,28.06616,mainland,,15045.99188,55544,212107
5422,buffer,lm,29.20135307,283.5832397,3,341.0050852,1455.360382,1355.358513,30.69027,mainland,,1754.549496,271587,360287
5423,buffer,lm,25.21070862,264.5299301,2,58.7881448,504.3007597,747.2297883,25.21407,mainland,,293.0842843,34404,46375
5424,buffer,lm,37.44504547,289.9543915,3,692.9535431,1102.717919,1085.044533,38.12172,mainland,,1819.243696,252627,339093
5425,buffer,lm,34.98339844,291.8024139,3,735.6584976,1209.876542,1092.067745,37.66003,mainland,,184.3092665,12666,12666
5426,buffer,lm,37.77008057,56.2057724,4,105.7893829,1059.930726,1087.630348,37.77008,mainland,,581.3094205,85765,113885
