cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
1,buffer,em,100.9588318,102.4256992,4,,,,100.9588,island,1234500,37928.80584,236363,940979
2,buffer,em,80.4410553,50.90313816,4,20.00543555,60.50264506,62.61344397,81.19672,mainland,,327.959227,28828,38438
3,buffer,em,76.50267792,68.81442324,4,20.42792547,66.08982388,64.07187791,77.80814,island,2893600,899.8127308,105856,242820
4,buffer,em,71.87452698,115.0381749,4,43.89873582,86.41896109,86.70056073,73.57698,mainland,,39.36420425,1127,1127
5,buffer,em,73.41650391,300.4685923,4,74.1192262,74.45980248,89.000051,74.92407,mainland,,238.3640064,16642,17261
6,buffer,em,102.869606,280.5283585,4,,,,102.8696,island,26700,293.1302369,43533,62298
7,buffer,em,95.01966095,52.41049004,3,9.068012339,18.1916533,17.65384939,95.32215,island,26700,1098.937965,77263,251503
8,buffer,em,90.99388885,29.99297094,4,29.16751376,30.27741789,30.96960532,95.76937,island,35400,4110.980803,86550,207022
9,buffer,em,91.60324097,42.37183857,4,24.98114486,28.85645449,28.1079623,96.88233,island,2100,2342.194341,36649,92481
10,buffer,em,79.05278778,89.08920898,4,25.03160853,67.02532945,66.91732153,80.92458,mainland,,8953.439223,89028,256282
11,buffer,em,81.58444977,256.760849,3,39.71432653,58.66622945,57.435076,81.6853,mainland,,34.29548107,1052,2261
12,buffer,em,72.1963501,188.9924698,3,47.17522186,82.98358116,84.5769334,72.56943,mainland,,22.53223362,631,631
13,buffer,em,77.9093399,223.20802,3,69.8878952,70.45382484,61.37460218,78.95588,island,2819100,5139.220607,118610,207056
14,buffer,em,88.77629852,292.9195023,4,1.974223689,37.50098158,35.1385872,88.81307,island,1576300,238.5465201,31137,45670
15,buffer,em,72.85540771,216.3133423,3,15.26293736,82.36358421,89.56306488,73.33619,mainland,,59.26258026,6593,6593
16,buffer,em,87.12443542,97.77857971,4,41.57569112,42.31988758,42.30353419,89.61154,mainland,,204.6150603,9333,10323
17,buffer,em,82.70350647,4.606044456,3,23.99883185,52.63647581,54.54663016,82.70351,island,3008700,409.3632063,182,182
18,buffer,em,101.5411377,283.7612,4,,,,103.0516,island,1064500,328.8418503,36680,45112
19,buffer,em,100.9798584,167.7280553,4,,,,103.0946,island,1000,33381.98949,393469,1464269
20,buffer,em,98.33585358,178.5886116,4,7.553512796,6.31234529,6.160616202,98.52219,island,600,3609.973656,35776,134780
21,buffer,em,81.04564667,247.0754486,3,17.72482864,56.85861676,57.9049198,83.0478,island,5300,169.9463623,4944,4944
22,buffer,em,81.51407623,333.3844849,4,3.086084221,59.1727938,60.3334213,82.26768,island,3800,729.2812731,111692,549279
23,buffer,em,92.49001312,130.9718418,3,19.55130329,26.30148143,25.104194,92.76878,island,905300,14467.22253,61014,251984
24,buffer,em,89.1470871,23.36335039,3,35.54892516,36.22742389,37.77010325,91.65681,mainland,,232.0221619,9580,10246
25,buffer,em,105.2621994,139.2691956,4,,,,107.049,island,9800,15696.86428,102878,292832
26,buffer,em,79.25984192,105.0040545,3,26.74658565,50.64304269,66.84218504,80.74729,mainland,,538.4550401,75924,113371
27,buffer,em,98.94248199,245.905246,4,3.229875967,4.325537812,4.401909019,100.241,mainland,,22763.41947,65306,264822
28,buffer,em,78.65470886,95.18138504,4,3.464011403,72.35249662,70.64127919,79.49456,island,2600,7910.321734,88456,223052
29,buffer,em,95.44408417,257.4220551,3,16.5927495,15.34333795,15.46020352,97.7786,island,1691400,192.2410748,18095,18426
30,buffer,em,106.1703568,355.5013885,4,,,,106.1704,island,120800,710.1183373,66878,122714
31,buffer,em,94.86172485,61.31404076,4,12.59342339,17.94549348,18.27533779,95.29717,island,219100,1827.119492,199591,503312
32,buffer,em,102.8263397,294.5452499,4,,,,102.8263,island,22100,607.0208555,43549,43589
33,buffer,em,107.4719925,290.5970154,4,,,,107.472,island,154000,726.0250981,2409,2409
34,buffer,em,99.05915833,214.8563232,4,2.013031524,4.013277962,3.939589971,99.32211,island,1700,50866.2446,327239,1197260
35,buffer,em,90.45549774,123.6139812,4,10.80483676,30.50887718,31.79096076,91.0966,island,11200,7067.130648,44367,160431
36,buffer,em,111.1162338,241.5957169,3,,,,111.45,island,128400,423.4246089,31637,36654
37,buffer,em,107.7774734,325.6029434,4,,,,109.508,island,39000,238.85586,12557,14455
38,buffer,em,91.97857666,333.1377182,4,26.17488724,27.52658289,27.03155316,93.22532,mainland,,320.025381,26625,27992
39,buffer,em,105.2972031,163.900116,4,,,,106.2668,island,1548800,12403.7324,81539,363603
40,buffer,em,104.6402206,118.6907272,4,,,,105.0635,island,5900,475.2937855,26085,27769
41,buffer,em,83.1566391,321.4678467,4,18.48595501,51.48305966,53.11435145,85.40135,island,6600,151.9505869,12898,13409
42,buffer,em,81.67385101,181.463811,4,48.62167152,58.12295299,56.58258773,83.21108,island,2944100,197.7609214,13032,13055
43,buffer,em,93.0672226,122.6915874,3,6.526287655,24.03900068,23.36413038,93.06722,island,519500,6093.774135,175139,420449
44,buffer,em,89.47483826,167.1313731,4,12.02172632,33.18237786,34.52855502,89.89341,island,27100,3459.814354,33289,106056
45,buffer,em,71.17388916,253.5299492,4,25.93041954,58.95225357,89.85603415,73.30543,island,9500,642.3039293,79293,174438
46,buffer,em,97.74346924,41.36118507,3,7.68635154,7.678797499,7.869218789,97.74347,island,733500,13.21410593,790,790
47,buffer,em,104.5192719,245.6278892,3,,,,105.2545,island,101100,336.7395466,20711,21327
48,buffer,em,88.169487,143.5597534,4,35.3998027,39.26304051,38.83328782,88.16949,mainland,,14794.96919,154109,534216
49,buffer,em,74.57855988,70.12066555,4,32.0771336,32.19786323,78.79780511,78.26944,island,12500,16632.49441,143674,442119
50,buffer,em,96.27518463,28.50408821,4,8.651045367,12.23475797,12.44313642,96.85214,island,1746700,33.11122196,5478,35691
51,buffer,em,88.51567841,177.3458713,4,31.53768174,37.06873726,37.40923237,88.63288,island,2091800,288.9261296,21019,21210
52,buffer,em,109.0207748,227.4383545,4,,,,109.2027,island,30000,335.4960456,15393,17032
53,buffer,em,105.5859604,83.15724087,4,,,,105.9421,island,142700,539.7418345,33822,167658
54,buffer,em,72.17937469,49.70515251,4,52.48762183,85.59138619,84.62598657,73.79861,mainland,,1955.279906,22560,40473
55,buffer,em,102.2819595,40.48701,3,,,,102.8168,island,152500,2864.395688,318282,911240
56,buffer,em,92.91480255,91.97032356,4,24.54740841,24.15022027,24.77982743,93.32065,mainland,,2280.532947,193854,445354
57,buffer,em,84.03783417,267.5735779,3,58.64191849,54.35133676,50.75757329,84.1324,island,1973700,20584.72333,119973,272298
58,buffer,em,77.93344879,170.6322479,4,51.66861201,71.74298294,70.66599966,78.21288,mainland,,104.0348361,4464,4464
59,buffer,em,97.61850739,330.143364,3,7.894177612,7.793391426,8.096504193,98.30069,mainland,,38.85408962,11134,18260
60,buffer,em,96.78533173,132.2742764,3,9.832380258,10.59980414,10.90551594,96.93116,mainland,,335.7197611,39185,121576
61,buffer,em,76.78895569,62.0635376,4,41.71979866,69.81264284,69.43427903,76.78896,mainland,,264.4821588,7527,7527
62,buffer,em,88.74211121,28.82448721,4,17.97673,37.82796842,37.87887463,89.68554,mainland,,2379.444989,172858,425206
63,buffer,em,110.7363815,209.4104228,3,,,,111.3998,island,165100,78.86747008,1505,13778
64,buffer,em,109.3614883,57.14716625,4,,,,109.8556,island,161700,142.2587909,20275,25475
65,buffer,em,84.5880661,77.85641289,4,37.32191356,50.7013461,49.99493465,84.58807,island,2254400,131.642945,6000,13214
66,buffer,em,110.2830734,46.01188946,4,,,,110.2831,island,1193000,13218.118,39673,39918
67,buffer,em,112.019928,39.43297386,4,,,,112.0199,island,71700,1054.851134,40842,40842
68,buffer,em,87.45397186,332.9895554,4,29.23692785,39.69273736,38.79859864,88.10162,island,1576300,582.3769101,92312,161574
69,buffer,em,71.10817719,175.8317386,4,16.56145155,56.12135959,88.67249593,72.14658,island,48200,411.344901,21656,70431
70,buffer,em,83.49154663,35.81836605,4,53.2510932,54.95939804,53.37314703,83.49155,mainland,,13.78052535,26,26
71,buffer,em,78.74927521,180.1444153,4,8.263483216,13.56031501,64.06230677,78.77425,island,27700,22992.09189,163213,502526
72,buffer,em,91.01993561,181.9853411,3,3.665687344,31.52099962,30.28641922,91.49469,island,997000,6566.727401,310392,736726
73,buffer,em,98.98804474,319.5246658,4,4.132718849,4.241457556,4.302276126,101.1152,island,1174500,131.1619615,2376,2869
74,buffer,em,77.76393127,217.8586998,4,8.179288242,63.80684184,68.37117426,77.76393,mainland,,254.1122126,602,602
75,buffer,em,109.2602539,199.6326942,4,,,,109.4009,island,161700,116.2776179,39828,157317
76,buffer,em,79.23474121,161.2012367,4,11.76082041,71.73894627,65.62963958,79.23474,mainland,,202.5094245,16992,17077
77,buffer,em,73.56745148,156.0657349,1,20.31136148,88.04831556,88.10574665,75.12998,mainland,,220.2547346,12171,15563
78,buffer,em,112.5902634,276.0637945,4,,,,112.5903,island,1918500,82.99703446,13975,14502
79,buffer,em,109.1623154,108.0789635,4,,,,109.2107,island,18700,10838.97056,37215,148015
80,buffer,em,95.24710083,45.04104004,3,12.67647425,14.35454064,15.56673739,96.47208,mainland,,180.6022203,9749,9850
81,buffer,em,92.0221405,83.98662567,4,26.42399478,27.98471317,27.47746366,92.12663,mainland,,276.9971686,15435,15806
82,buffer,em,82.31639862,137.8073166,3,42.76311263,58.79754346,52.57222148,82.4326,island,2174700,89.67424823,25877,102305
83,buffer,em,86.9489212,81.25368958,3,23.41116816,38.77029949,40.51487249,87.11539,island,1698900,24657.42256,76379,308568
84,buffer,em,82.04508209,136.0907771,4,41.86967565,54.7646558,55.66751194,83.2662,mainland,,21453.02932,117532,389901
85,buffer,em,77.16448212,83.86285019,4,21.7607164,64.07005411,61.97103621,77.22869,island,2893600,983.2126522,134322,270492
86,buffer,em,98.96971893,139.7210789,4,4.195575901,4.339009183,4.399561359,98.96972,island,1639500,56.45028523,27,27
87,buffer,em,92.77099609,60.49595261,3,7.905550735,25.19979367,24.37710071,92.771,island,905300,3694.532885,271269,608646
88,buffer,em,79.1137085,71.04943562,4,22.81280123,63.08118722,63.23606726,79.11371,mainland,,169.2033905,2672,2672
89,buffer,em,108.7119904,163.6106216,4,,,,108.9531,island,1424800,66.12118823,14986,101047
90,buffer,em,74.51416779,81.83045769,3,43.76921319,76.8891377,78.8777052,76.51196,mainland,,1770.641993,139827,319835
91,buffer,em,111.4491425,282.267746,4,,,,111.4491,island,76300,69.16375743,269,269
92,buffer,em,100.2572708,208.027668,4,,,,102.4447,island,1104700,124.8965149,12191,18801
93,buffer,em,104.1157913,353.6737747,4,,,,106.9779,island,2112300,398.6351674,22955,23279
94,buffer,em,73.10774231,178.5632477,3,48.83585665,80.20745225,81.83573371,73.10774,mainland,,23.54998498,690,690
95,buffer,em,88.21992493,84.90000129,3,36.89449679,38.95255944,39.41263448,88.21992,island,2091800,22.65705011,1162,1409
96,buffer,em,98.16074371,40.30839825,4,7.436516331,6.700724077,6.634828843,98.16074,island,1639500,219.5909029,17885,17888
97,buffer,em,98.68933868,32.53807449,3,6.224004108,5.164734041,5.135147361,100.4111,mainland,,2456.509171,166987,457431
98,buffer,em,79.86610413,114.4031586,4,18.38407191,62.86773393,67.51791027,80.35484,mainland,,1101.080179,124810,247805
99,buffer,em,80.22250366,64.92811203,4,47.29483002,63.85116513,63.84270096,80.2225,island,3512600,86.72871205,408,408
100,buffer,em,82.02026367,337.3166428,3,22.34278176,47.89389648,49.53181504,82.8128,island,2174700,1068.731588,233931,514061
101,buffer,em,109.8959579,118.6202145,4,,,,110.4728,island,96600,58058.52551,241499,935960
102,buffer,em,76.40072632,41.77538013,3,18.85399533,63.47120957,63.96793843,77.45346,island,2893600,2209.356011,258680,506176
103,buffer,em,100.6670837,93.9234726,3,,,,100.8569,island,288700,24674.17717,187650,563086
104,buffer,em,80.1050415,304.450531,3,23.49286579,58.40372109,61.99502957,80.10504,mainland,,1228.920047,103646,273934
105,buffer,em,77.74893188,197.0790176,4,7.639433667,20.11618233,72.96602415,77.74893,island,17400,8316.305627,117669,296149
106,buffer,em,107.4840546,116.197834,4,,,,107.814,island,1487100,1741.312772,30510,139063
107,buffer,em,75.16741943,125.8899171,1,19.00592013,74.27721811,79.36108704,75.57426,island,800,165.2979433,7332,7332
108,buffer,em,93.89147949,125.880806,3,19.92494596,21.72275192,21.22001514,94.4335,island,491200,14582.58539,92408,326213
109,buffer,em,96.70532227,303.4288483,3,10.60863372,11.25205394,10.90031087,98.01583,mainland,,149.1405782,5550,14235
110,buffer,em,74.83325195,46.48627777,4,47.21086487,74.3333778,75.56253837,76.62768,mainland,,307.531548,20065,20119
111,buffer,em,111.1980362,320.9276657,4,,,,111.5731,island,31700,150.9212354,9312,23666
112,buffer,em,90.6611557,53.22368526,4,15.64136812,31.71811068,31.35486085,93.20732,island,5400,10360.66396,33040,164929
113,buffer,em,88.58574677,85.85352071,4,19.90255232,37.77979718,38.63127189,90.47463,mainland,,32589.35657,211988,714473
114,buffer,em,103.2512054,159.5955933,4,,,,104.8679,island,1663200,9297.703405,90386,340870
115,buffer,em,87.37361145,27.24533749,3,9.141596522,36.20848885,39.12685037,87.94613,island,1698900,1400.160378,154243,323992
116,buffer,em,73.12931061,324.5031357,4,23.26252788,88.32363109,81.90785833,73.96227,mainland,,51.19977062,4045,4045
117,buffer,em,105.8276749,183.5975859,4,,,,106.2425,island,168600,760.941081,47802,101609
118,buffer,em,99.01258087,173.1641159,4,4.161289047,4.28301,4.187069687,99.01258,island,1582000,449.7222453,41162,47633
119,buffer,em,100.1669006,9.776310444,4,,,,100.1669,mainland,,277.5124412,8660,8660
120,buffer,em,72.80628967,218.1813316,4,23.44106704,80.12231355,83.61552147,73.52097,mainland,,424.106263,34681,35719
121,buffer,em,104.6382751,168.7014961,3,,,,107.4899,island,187400,3575.114082,40027,159824
122,buffer,em,81.41064453,141.9200516,4,2.999034522,61.88107918,55.67677239,81.41064,island,2266000,401.5659716,46578,80672
123,buffer,em,86.60590363,57.99303055,3,47.24667577,46.4849399,45.50279591,88.40101,mainland,,7162.824215,131411,325663
124,buffer,em,79.25984192,101.5830972,3,26.44451739,50.45719711,66.8905455,80.71342,mainland,,633.5361773,97602,138315
125,buffer,em,87.28134918,181.1287804,4,45.5676731,44.56272172,42.83028337,87.28135,island,2134100,89.2690949,13245,13525
126,buffer,em,109.6672134,216.5698357,4,,,,109.9199,island,114200,19257.72313,88298,340337
127,buffer,em,110.6623611,112.6498489,4,,,,110.6624,island,60300,165.3592757,1875,1875
128,buffer,em,77.3904953,33.17104785,4,47.39852252,70.71713095,74.71749856,79.43018,mainland,,6645.80349,105375,293191
129,buffer,em,98.63655853,268.8703842,4,6.277995153,5.613874568,5.46560641,98.63656,island,31900,726.863608,71566,72978
130,buffer,em,96.52376556,79.45596886,4,12.01534935,11.22316393,11.59247891,99.66456,island,692600,4579.796808,48165,111476
131,buffer,em,73.16927338,124.5577393,4,23.94248961,32.66928371,74.72628244,74.02425,island,62000,23058.92242,139359,408390
132,buffer,em,111.1607208,319.7657043,4,,,,111.9423,island,115700,1058.210904,74781,225088
133,buffer,em,71.72142792,200.8394966,4,30.59108064,90.4875616,99.37066272,71.72143,mainland,,17893.65322,819,819
134,buffer,em,97.74079132,25.14728928,3,7.822325306,7.678911974,7.898924226,97.95395,island,397300,4611.290366,303961,703165
135,buffer,em,99.69868469,253.591732,4,0,1.485803639,1.563243651,100.2667,mainland,,3753.237625,58836,214765
136,buffer,em,100.9957352,240.2468529,4,,,,101.4646,island,264100,450.1329769,46121,48651
137,buffer,em,91.15901947,230.6442383,4,27.48410346,30.49571594,29.09949277,92.45673,island,5800,421.3817975,44306,82323
138,buffer,em,89.00800323,72.45123386,4,34.76215482,36.57979478,35.93585142,89.76376,mainland,,157.4342276,12412,13780
139,buffer,em,102.9378204,274.6843414,4,,,,102.9378,island,22100,581.0730186,70335,74255
140,buffer,em,90.84844971,130.741748,4,26.47643294,28.3841942,30.09869898,92.29865,island,143500,30947.78918,184210,686297
141,buffer,em,106.5120392,192.4689469,3,,,,106.7675,island,80800,2509.496996,258707,534170
142,buffer,em,104.3391724,174.7632523,4,,,,105.9831,island,1610500,2348.287641,42820,166577
143,buffer,em,97.06900024,84.91221046,4,8.432884327,9.755972957,9.77195791,97.15309,island,1691400,123.6020275,17930,64557
144,buffer,em,104.7645187,328.7013672,4,,,,105.5051,island,1610500,293.1478254,32916,53941
145,buffer,em,112.7051468,249.4190063,4,,,,112.7051,island,226900,389.4612452,5129,5129
146,buffer,em,71.78100586,76.28539276,4,26.32572484,88.27216839,91.0254228,73.22594,mainland,,3148.929693,23473,35845
147,buffer,em,80.43333435,302.3940125,3,18.51677571,59.20517235,59.85393959,83.61463,island,5300,248.9605366,7202,7202
148,buffer,em,101.8769836,153.541684,4,,,,102.2777,island,197500,10247.14271,60931,214337
149,buffer,em,79.87712097,281.5867004,4,8.739235001,51.9519901,60.57652309,80.66879,island,8000,7249.22095,60423,201373
150,buffer,em,85.55244446,225.9263382,4,44.39672262,48.43351055,48.31212273,87.39024,island,2134100,341.987256,22521,25253
151,buffer,em,84.37297058,315.3278351,4,46.52537833,53.39192425,51.7962527,85.70937,mainland,,39.71879774,1031,7921
152,buffer,em,88.13996124,133.5955391,4,32.36397219,40.2018957,38.90734923,91.53455,island,1965800,132.1326364,3086,3086
153,buffer,em,75.61681366,178.2022896,4,37.88740735,28.14911701,78.23127191,75.61681,island,28600,19720.919,46753,46880
154,buffer,em,82.47757721,300.2449265,4,12.86867737,13.93160982,56.3188205,84.23395,island,4300,1547.004055,99132,260658
155,buffer,em,92.51968384,57.43113645,4,27.4070882,25.89837385,25.52865424,94.39815,mainland,,410.858685,27386,27749
156,buffer,em,71.55947113,92.21290779,4,48.93417019,66.96473762,87.22130118,74.35481,mainland,,1150.48076,130733,228145
157,buffer,em,100.0315781,130.3777561,4,,,,100.5091,island,1234500,24555.13742,65686,277583
158,buffer,em,91.82080841,61.76597309,3,10.8523471,28.62991954,27.51428102,91.82081,island,997000,2306.690081,267261,596052
159,buffer,em,111.2078857,347.09272,4,,,,111.2079,island,1949700,494.0152002,9195,9195
160,buffer,em,106.1471329,166.7939366,3,,,,106.1526,island,93600,307.9070158,24190,24851
161,buffer,em,112.3740082,300.4945374,4,,,,113.9624,island,99200,841.7369615,30511,84072
162,buffer,em,85.51383209,112.1959661,3,46.37908673,47.47128568,47.85766462,86.24461,island,2174700,22.77444289,1554,1554
163,buffer,em,94.12899017,88.93110962,3,19.28027032,21.10159256,20.67255404,95.2244,island,453900,28912.57929,128930,456999
164,buffer,em,106.3072968,153.220578,4,,,,107.422,island,32200,31887.49729,122910,465082
165,buffer,em,101.9191895,188.5285454,4,,,,102.2053,island,1104700,164.8251789,19981,21483
166,buffer,em,103.0836182,330.5058289,4,,,,103.0836,island,126814400,2672.241279,196044,565553
167,buffer,em,79.43284607,174.895977,4,21.89661161,63.87085175,65.46876141,79.43285,island,3630100,291.5120188,19554,19554
168,buffer,em,97.62289429,70.28376389,4,3.851517062,7.291855009,7.982305245,98.21822,island,2600,54704.24152,291528,1123353
169,buffer,em,98.80922699,178.3352478,4,4.674070899,4.68328968,4.707976381,101.6423,island,235900,443.2212697,18440,20292
170,buffer,em,107.16082,238.9815216,4,,,,108.2318,island,19700,396.5284092,39386,40839
171,buffer,em,88.39865112,251.8605843,3,15.06347516,35.92618366,36.68496026,89.21075,island,1140000,21677.21319,72265,304382
172,buffer,em,75.9377594,145.9957085,4,16.47408154,19.89766862,66.48236074,77.00878,island,32200,23195.66161,152024,459109
173,buffer,em,95.29239655,108.4482895,4,14.84255747,15.69781536,15.80890668,96.72907,mainland,,88.03716525,3854,3854
174,buffer,em,112.4272614,65.16395473,4,,,,112.4273,island,14800,2966.377171,128923,487859
175,buffer,em,78.72257233,188.1962852,4,8.080142953,14.26421874,64.31660059,78.77425,island,27700,26187.22327,162883,502291
176,buffer,em,98.32424164,267.1870276,4,6.198662614,6.33518109,6.240526295,98.36316,island,1639500,77.9237461,3739,3780
177,buffer,em,106.1598358,217.9377075,4,,,,108.4362,island,681300,341.5238895,30077,34382
178,buffer,em,72.39174652,74.34379578,4,17.93310486,84.60290034,90.66109236,72.85159,mainland,,47.69679573,6356,6356
179,buffer,em,97.98738861,185.381813,4,6.470411816,6.822820524,6.656259109,98.23026,mainland,,55373.49448,202356,767601
180,buffer,em,91.21559906,295.6044998,3,22.55001763,32.0021718,30.84136572,91.98044,mainland,,237.3793669,36905,102677
181,buffer,em,98.53269196,33.32280004,4,5.66551609,5.803432618,5.797308473,98.77489,island,1639500,79.79440081,3647,3684
182,buffer,em,84.20676422,77.81084251,3,18.88990035,46.19926759,46.42601213,84.20676,island,1973700,2054.991125,230411,457212
183,buffer,em,93.96002197,132.5705536,3,15.64358894,21.43753162,21.04656804,94.86322,island,491200,17752.42942,102428,351372
184,buffer,em,114.2682343,39.75047922,4,,,,114.5613,island,116900,1759.292851,25661,73864
185,buffer,em,72.39351654,91.85320854,3,30.0609135,85.54266022,85.15297988,72.50565,mainland,,126.6206322,5605,5605
186,buffer,em,80.52800751,55.43567467,4,25.44548355,50.15992102,63.30039023,82.5881,mainland,,4866.717206,210253,438464
187,buffer,em,83.03078461,269.9171661,4,46.35530137,51.80801472,52.75852559,84.0565,mainland,,205.2248751,12178,12178
188,buffer,em,110.0089645,206.112648,4,,,,110.009,island,28700,263.1572898,20918,22023
189,buffer,em,81.40410614,276.5048157,4,36.2792432,56.03652833,57.78633505,84.11843,island,247900,3667.232134,14436,46907
190,buffer,em,87.44207764,201.7470284,4,39.51459904,42.29701874,44.45115621,88.36709,island,43700,415.674194,39463,87312
191,buffer,em,89.13733673,338.4399719,4,37.96341229,34.06108528,32.30630814,91.65493,mainland,,102.0032466,3261,10130
192,buffer,em,99.42878723,40.81385612,4,2.370884592,2.73005743,2.613571105,100.1026,island,2700,14862.56972,44391,129706
193,buffer,em,94.28490448,100.4677979,3,7.530739657,20.64649618,19.96961087,94.61358,island,491200,9885.119447,213268,580996
194,buffer,em,100.4076233,299.2292023,3,,,,101.9584,island,504900,110.7189573,36494,92691
195,buffer,em,94.28030396,250.0485916,3,20.17713117,19.60254252,20.21818666,94.78836,island,491200,9432.955062,71271,302032
196,buffer,em,82.07283783,185.2755051,4,30.50155374,59.36720113,53.05248738,82.41362,island,2174700,489.0262462,29772,68403
197,buffer,em,76.42906952,19.3760283,3,21.22026554,70.20225933,75.00567405,76.42907,island,3879600,222.5626502,1136,1136
198,buffer,em,100.1843796,184.5932462,4,,,,101.7387,island,264400,183.5203725,18756,23356
199,buffer,em,92.36643982,143.1581326,4,4.281241516,25.93287161,26.06532099,92.83073,island,2500,2160.99164,62620,122295
200,buffer,em,96.26628876,151.5119415,3,12.72720668,12.23886502,12.55808264,97.57822,mainland,,2164.764075,48893,155820
201,buffer,em,106.6288605,266.4533478,4,,,,107.5376,island,32200,4571.443383,36512,179744
202,buffer,em,102.0390244,162.5028267,4,,,,102.039,island,1759400,7974.140698,108313,372445
203,buffer,em,92.7019043,24.50459576,3,25.55563104,25.04385092,24.72306088,93.86999,mainland,,164.0860466,12347,13095
204,buffer,em,73.64613342,187.4610863,4,10.63585086,36.72016266,83.1400811,74.27663,island,33400,20159.64228,194908,513924
205,buffer,em,81.48201752,220.7442169,4,21.23389712,60.78320253,55.21705026,81.64177,island,2266000,462.4706221,46142,91191
206,buffer,em,82.76811218,43.53343391,4,49.881277,54.45726354,53.31319278,84.4826,mainland,,4683.411171,130999,375261
207,buffer,em,86.74172974,245.8412361,3,45.41849699,43.33287043,40.73809899,87.68544,island,1698900,24734.31856,142066,392069
208,buffer,em,79.10349274,284.8875732,4,29.616905,66.50752461,67.06821753,79.10349,island,3630100,112.6305225,8277,8277
209,buffer,em,113.5426865,252.1303558,4,,,,113.5427,island,8700,23915.23577,182699,699366
210,buffer,em,79.18099213,188.1954437,3,37.88544553,66.0778065,66.06021661,79.42085,mainland,,2183.437388,24455,132899
211,buffer,em,84.80235291,111.1835327,3,15.40597611,51.03925163,51.67748094,86.07255,mainland,,15903.92416,153029,400507
212,buffer,em,95.22439575,88.69327164,3,16.1057653,17.36375584,16.86539239,96.37685,island,425000,28932.56413,145488,507280
213,buffer,em,88.27954102,326.9464798,4,31.72788222,38.90851,39.89184234,89.80458,mainland,,192.2860813,13188,13188
214,buffer,em,79.79000854,184.2855129,4,43.74770226,61.99456003,63.34378251,79.79001,island,3630100,125.0169412,73,73
215,buffer,em,86.31793213,133.7159634,2,14.18170494,39.95459876,41.7153621,86.31793,island,1771700,17444.89005,70183,280106
216,buffer,em,102.9189758,138.7328262,4,,,,104.1205,island,158100,11212.87755,23900,43180
217,buffer,em,101.6938782,251.3191246,3,,,,102.5023,island,152500,854.3899026,96981,222684
218,buffer,em,72.7456131,178.2848053,4,14.34489924,88.30752714,96.71058347,73.49348,mainland,,14705.21354,37806,131625
219,buffer,em,90.013237,155.9781284,3,14.28766006,30.93003453,33.42016236,90.01324,island,1075400,24092.42733,51283,203506
220,buffer,em,112.730072,205.9387878,4,,,,112.9798,island,22400,30437.25375,265157,1187923
221,buffer,em,83.90849304,272.3931732,4,0,52.07921614,55.12365723,83.91669,mainland,,229.554233,23470,37858
222,buffer,em,94.49172211,266.0627208,3,7.445855081,20.1939532,19.37807943,94.85452,island,146500,1265.704468,111914,300454
223,buffer,em,77.33351135,200.0112152,4,47.24889951,68.85248077,68.77327972,77.33351,mainland,,125.2192433,675,675
224,buffer,em,84.00733185,25.67662168,3,23.64156303,50.2988729,53.41476642,84.00733,mainland,,2522.986905,174545,405789
225,buffer,em,91.54830933,104.7054749,3,5.703710999,29.77750714,28.85153952,91.62743,island,997000,3964.493125,154587,468307
226,buffer,em,75.1519165,42.33198166,4,26.86163831,74.20766057,77.18590781,75.85412,mainland,,94.45143532,6913,11781
227,buffer,em,74.27778625,27.58205128,3,22.67895636,74.23681034,82.20172166,75.05187,mainland,,72.61562987,5076,5076
228,buffer,em,111.7956848,156.849472,4,,,,111.7957,island,115700,64143.99695,333166,1322035
229,buffer,em,94.77264404,240.0576752,4,10.84345078,17.80100284,18.1446831,94.8072,island,41900,17.8211985,4511,32746
230,buffer,em,88.84506989,290.3967438,4,12.49431277,34.8910724,38.12160261,89.44759,island,10300,225.1660415,85422,234899
231,buffer,em,108.0769653,251.020752,4,,,,108.8778,island,2049000,169.605089,40858,43871
232,buffer,em,92.22492218,281.249218,3,2.05618364,27.3112695,26.07829638,92.32602,island,905300,14484.15932,55391,239216
233,buffer,em,76.92835999,70.30396366,4,44.66522869,66.51832071,71.34937264,76.92836,mainland,,46.95366866,786,786
234,buffer,em,82.03372192,157.8470917,3,2.924460486,53.88790774,57.70511872,82.40273,mainland,,319.4836749,22203,39884
235,buffer,em,84.77514648,260.288913,3,23.54061424,48.73348906,51.2710131,85.33578,mainland,,1161.829973,49857,186671
236,buffer,em,80.853302,349.9364777,4,5.591985697,54.74740947,62.18460172,80.8533,mainland,,76.46154958,10123,17903
237,buffer,em,113.865448,19.24729717,3,,,,113.9886,island,136700,61.09105967,1525,69677
238,buffer,em,69.66936493,168.6246071,4,47.36987148,98.09425495,96.91865904,71.72402,mainland,,16460.04876,104384,318798
239,buffer,em,77.46446991,315.5829956,4,27.23726262,70.07009492,71.41329203,78.0343,island,3718300,117.9732277,7329,7329
240,buffer,em,100.9322586,143.8193932,4,,,,102.6559,island,197500,166.7337464,7148,22486
241,buffer,em,78.15644836,45.87030506,4,48.96014314,64.76308571,68.48934006,79.34688,island,3630100,120.3260731,3097,5261
