cat,askeladden_id,municipality,quality,elev_minimum,phase,slope_average,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,site_size,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
193,158105-1,bamb,1,52.72872162,mm,4.19789969,275.4333437,3,54.8458886,135.7830601,210.5160584,1356.281582,54.37624,mainland,,972.6562905,68987,148901
194,158106-1,bamb,2,47.87007523,mm,5.635473658,197.9654195,3,108.7676328,221.0554146,287.9256576,1643.468535,52.67366,mainland,,262.3983032,63847,159089
195,158107-1,bamb,2,47.39326859,mm,4.585434675,266.5331116,3,63.03001049,210.7864365,291.9746911,315.531741,47.54208,mainland,,371.1210207,43042,52297
196,158108-1,bamb,2,50.12583542,mm,2.151058316,230.1827087,3,62.58234938,172.4137802,240.5753362,167.127632,50.12584,mainland,,586.5652637,1711,1719
197,158110-1,bamb,1,47.94201279,mm,5.795081395,59.03680655,4,144.3785384,206.193653,286.7692849,1228.837974,49.44459,mainland,,2432.204055,72027,201196
198,158111-1,bamb,1,50.78212357,mm,8.453707868,49.15473799,4,113.4075017,149.9146587,237.8391943,1104.150161,52.31349,mainland,,979.235894,107396,273874
199,158113-1,bamb,1,54.0103035,mm,4.346062339,255.2080043,4,36.4235156,56.53702305,199.4296207,1271.838665,55.30012,island,4600,1486.409801,116633,268616
200,158114-1,bamb,2,57.39775848,mm,7.290274239,202.1128204,4,58.6326994,89.64634163,146.2137019,646.142486,57.82328,mainland,,2684.327325,49639,145075
201,158115-1,bamb,1,40.59139252,mm,11.1278512,241.8597076,4,360.6468167,349.8784345,487.1195751,1005.545313,43.64063,mainland,,267.2703336,54305,118954
202,158170-1,bamb,2,53.87740707,mm,6.120245934,34.86744595,4,114.0362249,205.4963203,200.2516499,300.417844,53.87741,mainland,,87.69226857,4985,4985
209,176264-1,bamb,2,66.23415,mm,6.689333,300.3931,4,50.8920917,88.30826806,112.9842772,49.843462,65.62348,mainland,,148.4245878,6857,6857
214,214008-1,bamb,3,25.07046318,lm,7.728495598,103.0621872,2,337.4254477,1519.336417,1548.7578,278.427002,25.07046,mainland,,1003.427359,64757,67566
216,214010-1,bamb,3,31.88822174,lm,10.30199606,104.7847512,3,817.1623025,1145.980601,1072.407664,962.90045,34.99537,mainland,,601.7885321,99770,115454
217,214011-1,bamb,3,39.13566589,lm,8.85159421,112.3243656,4,387.9930979,556.336972,547.2858587,511.343069,40.50905,mainland,,1006.08357,106499,125194
218,214012-1,bamb,3,37.07401276,lm,7.77486519,143.5205631,4,583.1688949,700.9380937,650.2329775,2368.602914,42.86213,mainland,,729.2518471,87889,105280
219,214013-1,bamb,3,24.48002434,lm,12.53183002,175.3407562,4,1011.296453,1488.821789,1559.8076,902.975618,27.52341,mainland,,354.6717483,29403,29821
220,214014-1,bamb,3,29.98609734,lm,13.46505487,168.2700005,4,1107.450797,1240.262298,1162.392182,670.65418,30.48076,mainland,,269.7902784,25283,25883
221,214015-1,bamb,3,56.78582001,mm,18.13529539,187.9327469,4,137.3148442,171.7251278,178.2518599,427.28011,59.36765,island,41800,582.8357916,63392,99431
222,214413-1,bamb,3,35.61736298,lm,8.362524033,59.60638555,2,473.8573455,864.2820096,752.6069032,373.471874,35.61736,mainland,,1093.631943,177251,286460
225,230585-0,bamb,1,26.58697319,lm,8.775179386,18.67170548,4,421.2686799,1244.92002,1343.047943,522.632384,28.09233,mainland,,208.732821,8556,8556
226,230586-0,bamb,1,30.9422493,lm,5.333050728,70.75152016,4,568.9228252,1002.464027,1128.134849,373.935577,30.94225,mainland,,130.6533601,9397,9397
228,235992-0,bamb,1,100.8155594,em,5.338849545,129.4294891,3,,,,95.72363,100.8156,island,288700,3378.306078,121794,398161
